Wavelength,Carbonate (McArthur Basin KG-92-27),Calcite (JB-JLB-549),Calcite (GR-CMP-001),Dolomite (SH-SJG-079),Muscovite (GDS114),Muscovite (GDS120),Kaolinite (KGA-1),Montmorillonite (SAZ-1),Quartz (DH-MBW-003),Quartz (GDS74 Sand Ottowa),"Kerogen (PPRG114, H:C = 0.8)",Kerogen ?,Sap (JB-JLB-B84-A),Illite (Imt-1),Biotite H2S8 (USGS)
1.7480000,0.9997598,0.9999756,0.9999689,0.9988600,0.9997464,0.9999322,0.9999354,0.9999683,0.9997635,0.9997537,0.9964517,0.9943733,0.9998652,0.9997002,0.9998734
1.7490000,0.9997556,0.9999755,0.9999292,0.9987603,0.9997511,0.9999707,0.9999651,0.9999681,0.9997621,0.9998212,0.9973070,0.9950682,0.9998253,0.9997191,0.9997550
1.7500000,0.9997758,0.9999752,0.9999285,0.9988900,0.9997797,0.9999224,0.9999664,0.9999628,0.9997606,0.9994553,0.9958491,0.9952341,0.9998125,0.9997147,0.9995348
1.7510000,0.9998128,0.9999775,0.9999241,0.9989376,0.9998024,0.9999155,0.9999696,0.9999646,0.9997727,0.9999168,0.9956238,0.9942625,0.9998334,0.9997885,0.9998267
1.7520000,0.9998423,0.9999758,0.9999129,0.9989946,0.9997537,0.9998998,0.9999732,0.9999803,0.9997847,0.9999663,0.9950182,0.9966609,0.9998152,0.9998877,0.9998451
1.7530000,0.9998200,0.9999736,0.9998854,0.9991638,0.9997850,0.9999022,0.9999606,0.9999702,0.9997966,0.9993561,0.9956081,0.9952838,0.9998013,0.9997618,0.9997713
1.7540000,0.9998436,0.9999736,0.9998531,0.9994116,0.9998175,0.9999782,0.9999400,0.9999675,0.9998087,0.9994834,0.9975281,0.9955863,0.9997853,0.9997268,0.9997730
1.7550000,0.9998516,0.9999730,0.9998618,0.9995055,0.9998092,0.9999561,0.9999625,0.9999623,0.9998207,0.9991993,0.9972214,0.9975520,0.9998181,0.9998302,0.9998788
1.7560000,0.9998767,0.9999734,0.9998550,0.9996046,0.9998573,0.9999535,0.9999519,0.9999609,0.9998327,0.9995070,0.9958486,0.9966555,0.9998064,0.9997297,0.9998433
1.7570000,0.9998825,0.9999752,0.9998091,0.9996377,0.9998189,0.9999433,0.9999471,0.9999762,0.9998448,0.9997143,0.9965899,0.9959197,0.9998012,1.0000000,0.9998940
1.7580000,0.9998737,0.9999693,0.9998240,0.9996933,0.9998206,0.9999674,0.9999857,0.9999701,0.9998568,0.9999728,0.9957032,0.9921358,0.9997798,0.9999031,0.9999123
1.7590000,0.9998982,0.9999602,0.9998602,0.9998042,0.9997906,0.9999293,1.0000000,0.9999608,0.9998688,0.9999604,0.9959378,0.9964120,0.9997930,0.9998558,1.0000000
1.7600000,0.9999347,0.9999498,0.9998595,0.9999171,0.9998376,0.9999163,0.9999745,0.9999736,0.9998808,0.9996718,0.9964319,0.9942258,0.9997802,0.9999638,0.9998644
1.7610000,0.9999585,0.9999355,0.9998053,0.9999152,0.9998782,0.9999420,0.9999730,0.9999828,0.9998921,0.9993333,0.9980660,0.9949583,0.9997881,0.9999229,0.9997850
1.7620000,0.9999731,0.9999313,0.9998323,0.9998247,0.9998881,0.9999610,0.9999477,0.9999779,0.9999034,0.9997215,0.9968244,0.9952837,0.9998263,0.9998049,0.9997762
1.7630000,0.9999646,0.9999375,0.9998601,0.9997435,0.9999001,0.9999897,0.9999475,0.9999838,0.9999147,0.9998909,0.9961444,0.9949200,0.9998363,0.9997682,0.9998842
