Wavelength,1TB,2TB,3TB_1,3TB_2,4TB,5TB,6TB,7TB,8TB,9TB,11TB,12TB,13TB,14TB,15TB,16TB,17TB,18TB,19TB,20TB,21TB,22TB,23TB,24TB,25TB,26aTB,26bTB,27aTB,28TB,29TB
1.75600000,0.99992711,0.99994761,0.99994508,0.99993521,0.99995461,0.99992656,0.99994647,0.99996538,0.99993306,0.99993350,0.99997378,0.99996256,0.99983981,0.99878568,0.99997049,0.99996381,0.99995488,0.99995549,0.99993491,0.99994360,0.99994434,0.99993743,0.99978670,0.99972638,0.99958553,0.99993247,0.99997186,0.99995624,0.99992287,0.99996399
1.75700000,0.99998051,0.99988207,0.99989829,0.99994784,0.99988521,0.99998209,0.99993434,0.99998593,0.99995054,0.99993835,0.99997113,0.99993594,0.99985751,0.99872243,0.99991176,0.99994100,0.99995382,0.99995996,0.99992956,0.99995011,0.99993864,0.99994501,0.99977987,0.99976979,0.99954050,0.99989293,0.99996470,0.99993146,0.99992271,0.99991202
1.75800000,0.99997047,0.99988603,0.99992168,0.99990063,0.99994138,0.99995268,0.99994354,0.99995705,0.99997002,0.99995123,0.99997050,0.99996260,0.99984275,0.99871322,0.99988751,0.99993739,0.99997794,0.99996744,0.99994639,0.99992737,0.99994701,0.99994457,0.99975189,0.99972994,0.99953592,0.99989568,0.99997560,0.99994491,0.99992557,0.99993062
1.75900000,0.99995439,0.99988999,0.99989727,0.99994470,0.99990034,0.99997180,0.99996189,0.99998264,0.99997040,0.99993297,0.99998292,0.99996614,0.99981277,0.99869571,0.99990281,0.99995096,0.99995270,0.99998093,0.99993196,0.99993993,0.99995637,0.99995216,0.99975814,0.99974085,0.99955864,0.99989944,0.99997446,0.99994730,0.99993043,0.99994922
1.76000000,0.99995946,0.99987179,0.99990338,0.99991068,0.99992410,0.99996363,0.99999751,0.99997494,0.99994866,0.99993882,0.99996722,0.99992846,0.99980308,0.99865325,0.99990798,0.99991198,0.99992342,0.99997236,0.99989737,0.99993635,0.99994465,0.99995674,0.99976843,0.99973654,0.99954900,0.99989414,0.99996430,0.99994465,0.99992025,0.99996480
1.76100000,0.99997560,0.99991805,0.99992372,0.99991723,0.99989926,0.99995141,0.99992037,0.99996725,0.99994703,0.99994266,0.99997060,0.99994507,0.99979847,0.99858585,0.99989286,0.99996294,0.99993143,0.99995878,0.99991218,0.99993479,0.99995201,0.99995027,0.99977670,0.99971294,0.99951005,0.99988481,0.99996618,0.99994200,0.99993916,0.99993702
1.76200000,0.99996355,0.99991094,0.99991355,0.99994912,0.99994834,0.99993110,0.99989198,0.99995048,0.99994540,0.99992841,0.99997901,0.99998178,0.99983543,0.99859328,0.99991121,0.99993912,0.99993641,0.99995221,0.99991288,0.99992012,0.99995032,0.99996388,0.99978195,0.99976040,0.99953883,0.99986944,0.99996303,0.99994942,0.99994101,0.99995462
1.76300000,0.99995150,0.99991187,0.99990643,0.99991713,0.99991135,0.99997651,0.99995300,0.99997404,0.99994377,0.99994431,0.99998139,0.99998633,0.99979938,0.99859863,0.99991738,0.99992540,0.99993535,0.99996170,0.99990753,0.99992865,0.99993960,0.99994838,0.99976203,0.99977335,0.99957975,0.99988327,0.99998195,0.99994174,0.99991979,0.99997120
1.76400000,0.99993945,0.99991886,0.99984744,0.99991556,0.99993309,0.99991980,0.99999675,0.99997139,0.99994817,0.99994413,0.99996167,0.99996272,0.99983533,0.99867465,0.99988299,0.99995514,0.99994335,0.99997218,0.99993242,0.99993718,0.99994194,0.99992586,0.99974915,0.99974670,0.99953574,0.99988200,0.99998081,0.99994816,0.99992666,0.99997267
1.76500000,0.99994250,0.99996613,0.99990236,0.99991095,0.99995381,0.99993488,0.99994703,1.00000000,0.99995559,0.99996002,0.99997711,0.99995521,0.99987533,0.99873091,0.99988714,0.99996770,0.99998864,0.99998267,0.99992706,0.99994773,0.99994729,0.99996456,0.99980072,0.99977386,0.99957766,0.99990690,0.99999071,0.99996060,0.99994557,0.99996506
